sample,pop
DNAA051_B03,Ch_Rog_M
DNAA051_B04,Ch_Rog_P
DNAA051_B05,Ch_Rog_P
DNAA051_B06,Ch_Puy_M
DNAA051_B07,Ch_Puy_M
DNAA051_B08,Ch_Puy_M
DNAA051_B09,Ch_Puy_P
DNAA051_B10,Ch_Puy_P
DNAA051_B11,Ch_Puy_P
DNAA051_B12,Ch_Noo_P
DNAA051_C01,Ch_Sil_M
DNAA051_C02,Ch_Rog_M
DNAA051_C03,Ch_Rog_M
DNAA051_C04,Ch_Rog_P
DNAA051_C05,Ch_Rog_P
DNAA051_C06,Ch_Puy_M
DNAA051_C07,Ch_Puy_M
DNAA051_C08,Ch_Puy_M
DNAA051_C09,Ch_Puy_P
DNAA051_C10,Ch_Puy_P
DNAA051_C11,Ch_Puy_P
DNAA051_C12,Ch_Noo_P
DNAA051_D01,Ch_Sil_M
DNAA051_D02,Ch_Rog_M
DNAA051_D03,Ch_Rog_M
DNAA051_D04,Ch_Rog_P
DNAA051_D05,Ch_Rog_P
DNAA051_D06,Ch_Puy_M
DNAA051_D07,Ch_Puy_M
DNAA051_D08,Ch_Puy_M
DNAA051_D09,Ch_Puy_P
DNAA051_D10,Ch_Puy_P
DNAA051_D11,Ch_Puy_P
DNAA051_D12,Ch_Noo_P
DNAA051_E01,Ch_Sil_P
DNAA051_E02,Ch_Rog_M
DNAA051_E03,Ch_Rog_M
DNAA051_E04,Ch_Rog_P
DNAA051_E05,Ch_Rog_P
DNAA051_E06,Ch_Puy_M
DNAA051_E07,Ch_Puy_M
DNAA051_E08,Ch_Puy_M
DNAA051_E09,Ch_Puy_P
DNAA051_E10,Ch_Puy_P
DNAA051_E11,Ch_Noo_M
DNAA051_E12,Ch_Eel_M
DNAA051_F01,Ch_Sil_P
DNAA051_F02,Ch_Rog_M
DNAA051_F03,Ch_Rog_M
DNAA051_F04,Ch_Rog_P
DNAA051_F05,Ch_Rog_P
DNAA051_F06,Ch_Puy_M
DNAA051_F07,Ch_Puy_M
DNAA051_F08,Ch_Puy_M
DNAA051_F09,Ch_Puy_P
DNAA051_F10,Ch_Puy_P
DNAA051_F11,Ch_Noo_M
DNAA051_F12,Ch_Eel_M
DNAA051_G01,Ch_Sil_P
DNAA051_G02,Ch_Rog_M
DNAA051_G03,Ch_Rog_M
DNAA051_G04,Ch_Rog_P
DNAA051_G05,Ch_Rog_P
DNAA051_G06,Ch_Puy_M
DNAA051_G07,Ch_Puy_M
DNAA051_G08,Ch_Puy_P
DNAA051_G09,Ch_Puy_P
DNAA051_G10,Ch_Puy_P
DNAA051_G11,Ch_Noo_M
DNAA051_G12,Ch_Eel_M
DNAA051_H01,Ch_Sil_P
DNAA051_H02,Ch_Rog_M
DNAA051_H03,Ch_Rog_M
DNAA051_H04,Ch_Rog_P
DNAA051_H05,Ch_Rog_P
DNAA051_H06,Ch_Puy_M
DNAA051_H07,Ch_Puy_M
DNAA051_H08,Ch_Puy_P
DNAA051_H09,Ch_Puy_P
DNAA051_H10,Ch_Puy_P
DNAA051_H11,Ch_Noo_M
DNAA051_H12,Ch_Eel_M
