POP,ID,Flight_endurance,Body_mass,Flight_muscle_ratio,Fat_content
HC,scit_170:MRG:2:250226483,2.05,0.94,0.36,0.13
HC,scit_171:MRG:2:250226491,2.55,0.87,0.41,0.1
HC,scit_172:MRG:2:250226499,2.51,0.87,0.41,0.12
HC,scit_173:MRG:2:250226507,3,0.79,0.34,0.05
HC,scit_175:MRG:2:250226523,2.6,0.91,0.29,0.15
HC,scit_176:MRG:2:250226531,2.9,0.74,0.41,0.18
HC,scit_177:MRG:2:250226539,3.26,0.78,0.45,0.12
HC,scit_179:MRG:2:250226460,1.83,0.78,0.34,0.11
HWP,scit_89:C2C9HACXX:5:250226334,2.260071388,0.77480883,0.465652522,0.160900235
HWP,scit_94:C2C9HACXX:5:250226374,NA,NA,NA,NA
HWP,scit_100:MRG:2:250226446,3.18,0.73,0.39,0.07
HWP,scit_81:C2C9HACXX:5:250226365,2.46834733,0.757016235,0.36317499,0.138057743
HWP,scit_83:C2C9HACXX:5:250226381,1.86332286,0.713406532,0.385379859,0.124008512
HWP,scit_84:C2C9HACXX:5:250226389,1.447158031,0.80700706,0.483833936,0.089813169
HWP,scit_87:C2C9HACXX:5:250226413,2.88,0.84,0.47,0.07
HWP,scit_92:C2C9HACXX:5:250226358,NA,NA,NA,NA
HWP,scit_82:C2C9HACXX:5:250226373,2.387389826,0.746712023,0.372346877,0.113599713
HWP,scit_85:C2C9HACXX:5:250226397,2.326335861,0.734879803,0.389028476,0.12060394
HWP,scit_86:C2C9HACXX:5:250226405,1.380211242,0.735519059,0.368010403,0.151682295
HWP,scit_88:C2C9HACXX:5:250226326,2.770852012,0.750199728,0.414924749,0.149662282
HWP,scit_90:C2C9HACXX:5:250226342,1.602059991,0.734879803,0.383192602,0.084146566
HWP,scit_91:C2C9HACXX:5:250226350,1.36,0.78,0.38,0.1
HWP,scit_93:C2C9HACXX:5:250226366,2.51,0.87,0.39,0.12
HWP,scit_95:C2C9HACXX:5:250226382,2.79,0.96,0.26,0.2
HWP,scit_96:C2C9HACXX:5:250226390,2.6,0.98,0.33,0.16
HWP,scit_97:C2C9HACXX:5:250226398,2.54,0.73,0.42,0.09
HWP,scit_98:C2C9HACXX:5:250226406,1.76,0.77,0.41,0.16
HWP,scit_99:C2C9HACXX:5:250226414,1.34,0.69,0.43,0.08
HZ,scit_10:C2C9HACXX:5:250226367,1.76,0.82,0.39,0.14
HZ,scit_1:C2C9HACXX:5:250226319,1.83,0.78,0.46,0.15
HZ,scit_18:C2C9HACXX:5:250226336,2.29,0.65,0.38,0.11
HZ,scit_5:C2C9HACXX:5:250226343,1.98,0.69,0.4,0.12
HZ,scit_6:C2C9HACXX:5:250226351,2.3,0.85,0.45,0.15
HZ,scit_11:C2C9HACXX:5:250226375,2.15,0.72,0.38,0.16
HZ,scit_12:C2C9HACXX:5:250226383,2.87,0.75,0.41,0.14
HZ,scit_13:C2C9HACXX:5:250226391,2.65,0.74,0.4,0.07
HZ,scit_14:C2C9HACXX:5:250226399,2.7930916,0.677059177,0.404585799,0.146823727
HZ,scit_15:C2C9HACXX:5:250226407,1.99,0.66,0.4,0.06
HZ,scit_16:C2C9HACXX:5:250226320,2.71,0.74,0.39,0.1
HZ,scit_17:C2C9HACXX:5:250226328,2.72,0.73,0.41,0.08
HZ,scit_19:C2C9HACXX:5:250226344,3.26,0.75,0.39,0.11
HZ,scit_2:C2C9HACXX:5:250226327,0.78,0.75,0.44,0.18
HZ,scit_3:C2C9HACXX:5:250226335,1.04,0.81,0.42,0.21
HZ,scit_7:C2C9HACXX:5:250226359,1.61,0.87,0.45,0.19
NV,scit_144:MRG:2:250226473,0.698970004,0.934043719,0.385237465,0.208357584
NV,scit_147:MRG:2:250226497,1.84509804,0.91624333,0.477204942,0.146131458
NV,scit_148:MRG:2:250226505,0.903089987,0.942008053,0.381878902,0.212914286
NV,scit_152:MRG:2:250226537,NA,0.85,0.4,0.13
NV,scit_155:MRG:2:250226466,1.08,0.9,0.4,0.16
NV,scit_157:MRG:2:250226482,1.54,0.91,0.38,0.17
NV,scit_158:MRG:2:250226490,1.6,1.01,0.45,0.28
NV,scit_160:MRG:2:250226506,2.13,0.92,0.32,0.25
NV,scit_141:MRG:2:250226449,2.255272505,0.866464566,0.459390482,0.094111247
NV,scit_142:MRG:2:250226457,1.886490725,0.854548936,0.364185751,0.12105116
NV,scit_145:MRG:2:250226481,2.394451681,0.907841143,0.469324702,0.159619189
NV,scit_146:MRG:2:250226489,1.176091259,1.025223915,0.422160075,0.291470089
NV,scit_149:MRG:2:250226513,1,0.900039235,0.439280598,0.20908862
NV,scit_150:MRG:2:250226521,0.903089987,0.852235939,0.414857694,0.126053963
NV,scit_151:MRG:2:250226529,NA,0.87,0.29,0.11
NV,scit_153:MRG:2:250226450,NA,1,0.36,0.18
NV,scit_154:MRG:2:250226458,2.43,0.89,0.39,0.07
NV,scit_156:MRG:2:250226474,NA,0.83,0.46,0.19
NV,scit_159:MRG:2:250226498,NA,0.89,0.41,0.15
